epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,784.064,0.32899,0.70375,0.93901,0.79953,0.94661,0.93222,0.9036,0.23909,0.54967,0.67021,0.00071102,0.00071102,0.00071102
68,795.905,0.33646,0.70326,0.94406,0.79361,0.91928,0.93255,0.90513,0.26125,0.57699,0.69591,0.00070802,0.00070802,0.00070802
69,807.586,0.31853,0.68592,0.93479,0.85222,0.92698,0.95676,0.93731,0.22422,0.48243,0.66125,0.00070502,0.00070502,0.00070502
70,819.5,0.32561,0.66402,0.9525,0.8636,0.8837,0.93851,0.92943,0.22643,0.52184,0.65866,0.000702021,0.000702021,0.000702021
71,831.726,0.30923,0.65212,0.94018,0.7935,0.91097,0.92601,0.91978,0.22696,0.47911,0.63865,0.000699021,0.000699021,0.000699021
72,843.1,0.32091,0.66737,0.93639,0.92975,0.87047,0.93426,0.91257,0.30243,0.56942,0.73547,0.000696021,0.000696021,0.000696021
73,854.997,0.33181,0.67578,0.9445,0.84562,0.9304,0.93801,0.92743,0.2451,0.49707,0.68717,0.000693022,0.000693022,0.000693022
74,866.624,0.31864,0.64662,0.94821,0.91146,0.9188,0.95387,0.94153,0.21765,0.44211,0.65117,0.000690022,0.000690022,0.000690022
75,878.922,0.31451,0.63991,0.93805,0.87292,0.92698,0.96084,0.95042,0.26559,0.55919,0.70753,0.000687022,0.000687022,0.000687022
76,890.64,0.32337,0.64892,0.95012,0.80617,0.9127,0.91,0.88621,0.26456,0.53174,0.69046,0.000684022,0.000684022,0.000684022
77,902.452,0.33001,0.67546,0.9422,0.88377,0.90011,0.93114,0.92582,0.24037,0.43898,0.66565,0.000681023,0.000681023,0.000681023
78,914.444,0.3147,0.64197,0.93902,0.93325,0.91538,0.96905,0.96802,0.20357,0.40182,0.62968,0.000678023,0.000678023,0.000678023
79,926.416,0.31785,0.66734,0.93278,0.92302,0.89778,0.96479,0.95471,0.24667,0.454,0.67957,0.000675023,0.000675023,0.000675023
80,938.64,0.33239,0.65413,0.9435,0.90057,0.89546,0.96028,0.95472,0.21658,0.43553,0.66464,0.000672024,0.000672024,0.000672024
81,950.516,0.32017,0.64832,0.93897,0.91297,0.93635,0.97209,0.94524,0.27134,0.47396,0.71032,0.000669024,0.000669024,0.000669024
82,963.059,0.31547,0.63534,0.93818,0.87287,0.938,0.96293,0.95957,0.21538,0.42534,0.62153,0.000666024,0.000666024,0.000666024
83,974.67,0.32669,0.6394,0.93945,0.87957,0.93676,0.96856,0.95592,0.22167,0.40753,0.6582,0.000663025,0.000663025,0.000663025
84,986.5,0.31565,0.60174,0.94271,0.82863,0.86772,0.93001,0.92045,0.24378,0.57168,0.67525,0.000660025,0.000660025,0.000660025
85,998.282,0.32404,0.64162,0.94011,0.86028,0.93588,0.95537,0.93979,0.22939,0.45782,0.65305,0.000657025,0.000657025,0.000657025
86,1010.49,0.30683,0.65733,0.935,0.93295,0.91236,0.96955,0.95906,0.21228,0.35453,0.6375,0.000654025,0.000654025,0.000654025
87,1022.67,0.31464,0.62169,0.94271,0.93161,0.91388,0.94895,0.94674,0.20669,0.4096,0.61942,0.000651026,0.000651026,0.000651026
88,1034.81,0.31174,0.62122,0.93758,0.88234,0.96211,0.97435,0.96093,0.2223,0.38887,0.64168,0.000648026,0.000648026,0.000648026
89,1046.9,0.30545,0.60373,0.93056,0.92143,0.88615,0.94559,0.93484,0.22241,0.43213,0.64584,0.000645026,0.000645026,0.000645026
90,1058.84,0.30569,0.58748,0.93447,0.9396,0.87823,0.934,0.92109,0.23648,0.46163,0.65928,0.000642027,0.000642027,0.000642027
91,1071.04,0.31206,0.60263,0.93427,0.79172,0.93547,0.95566,0.94695,0.23233,0.59816,0.66526,0.000639027,0.000639027,0.000639027
92,1083.57,0.31192,0.59434,0.94435,0.91102,0.94257,0.95636,0.95321,0.22798,0.43292,0.66064,0.000636027,0.000636027,0.000636027
93,1095.36,0.30825,0.59506,0.93427,0.86835,0.90786,0.94811,0.93817,0.22469,0.48851,0.6551,0.000633028,0.000633028,0.000633028
94,1107.24,0.30899,0.61931,0.94441,0.86186,0.90055,0.94892,0.93873,0.23488,0.56626,0.67026,0.000630028,0.000630028,0.000630028
95,1119.34,0.30133,0.60292,0.94192,0.85451,0.97445,0.95671,0.95207,0.20032,0.43758,0.62478,0.000627028,0.000627028,0.000627028
96,1131.24,0.31371,0.58155,0.94424,0.82683,0.86073,0.93631,0.92565,0.20968,0.59728,0.63783,0.000624028,0.000624028,0.000624028
97,1143.18,0.29666,0.58694,0.93483,0.88898,0.9385,0.95229,0.9489,0.20781,0.39156,0.62877,0.000621029,0.000621029,0.000621029
98,1155.23,0.31819,0.59838,0.93348,0.86565,0.94232,0.93971,0.92835,0.27273,0.53097,0.71313,0.000618029,0.000618029,0.000618029
99,1167.15,0.30086,0.59757,0.93246,0.8347,0.90801,0.92644,0.91265,0.23508,0.49301,0.6776,0.000615029,0.000615029,0.000615029
100,1179.13,0.30634,0.56959,0.93864,0.82858,0.90433,0.92416,0.91836,0.2396,0.48444,0.66378,0.00061203,0.00061203,0.00061203
101,1191.67,0.30718,0.62722,0.93272,0.89754,0.91184,0.95698,0.94998,0.22976,0.40898,0.65385,0.00060903,0.00060903,0.00060903
